District,Month,rainfall
Pratapgarh,1,17.292307692307695
Raibareli,1,7.192307692307693
Rampur,1,13.953846153846152
Saharanpur,1,24.86923076923077
Kanpur,1,14.269230769230766
Hardoi,1,11.46153846153846
Farrukhabad,1,10.96923076923077
Jaunpur,1,25.869230769230764
East Sikkim,1,9.649999999999999
Sikkim,1,7.92
Sikkim,1,8.75
Sikkim,1,37.470000000000006
Sikkim,1,12.100000000000001
Paren,1,9.55
Zunheboto,1,21.5
Longleng,1,6.0
Wokha,1,13.083333333333334
Kiphire,1,6.477777777777778
Mokokchung,1,18.18
Dimapur,1,9.830000000000002
Kohima,1,12.36923076923077
Mon,1,21.939999999999998
Phek,1,12.123076923076924
Tuensang,1,14.9
Mahe,1,0.0
Yanam,1,0.0
Karaikal,1,38.53
Pondicherry,1,23.53846153846154
Dhalai,1,4.65
Tripura,1,6.723076923076925
Tripura,1,6.815384615384615
Tripura,1,6.176923076923076
Andaman Island,1,106.73999999999998
Andaman Island,1,65.27692307692308
Nicobar Island,1,195.56153846153845
Daman,1,0.0
Dadra & Nagar Haveli,1,0.0
Chandigarh,1,32.90769230769231
Diu,1,0.1846153846153846
Sambalpur,2,15.130769230769229
Nuapada,2,2.82
Bargarh,2,15.527272727272731
Nowrangapur,2,1.45
Nawapara,2,11.785714285714286
Bhadrak,2,13.518181818181818
Nabarangapur,2,9.255555555555555
Sonepur,2,16.207692307692305
Angul,2,15.907692307692308
Deogarh,2,17.315384615384612
Jajpur,2,13.169230769230769
Keonjhar,2,21.684615384615384
Kendrapara,2,5.1230769230769235
Cuttack,2,15.869230769230768
Jagatsinghpur,2,10.423076923076923
Balasore,2,22.71538461538461
Dhenkanal,2,13.384615384615385
Jharsuguda,2,13.26153846153846
Koraput,2,5.6692307692307695
Nayagarh,2,16.730769230769234
Boudh,2,11.115384615384615
Gajapati,2,14.592307692307688
Kalahandi,2,5.769230769230769
Puri,2,5.799999999999999
Kandhamal,2,13.215384615384616
Malkangiri,2,3.5230769230769234
Rayagada,2,9.046153846153846
Balangir,2,6.8538461538461535
Ganjam,2,10.8
Mayurbhanj,2,18.315384615384616
Khurda,2,13.784615384615384
Sundargarh,2,13.492307692307692
Jalgaon,2,4.73076923076923
Jalna,2,1.5153846153846156
Nandurbar,2,0.6599999999999999
Buldhana,2,3.292307692307692
Ratnagiri,2,0.04615384615384616
Wardha,2,7.453846153846153
Washim,2,5.423076923076923
Sangli,2,0.7384615384615384
Bhandara,2,39.87692307692308
Hingoli,2,6.05
Palghar,2,0.0
Raigarh,2,0.2
Mumbai,2,0.0
Ahmednagar,2,0.6076923076923078
Chandrapur,2,9.823076923076924
Kolhapur,2,0.37692307692307697
Yavatmal,2,4.6230769230769235
Nashik,2,0.8692307692307693
Satara,2,0.7076923076923076
Nanded,2,6.9692307692307685
Amravati,2,4.961538461538462
Dhule,2,2.4545454545454546
Latur,2,6.584615384615384
Osmanabad,2,3.261538461538462
Sholapur,2,1.023076923076923
Mumbai,2,0.6076923076923076
Parbhani,2,4.484615384615385
Nagpur,2,10.292307692307693
Pune,2,0.1769230769230769
Sindhudurg,2,1.6846153846153844
Aurangabad,2,1.1615384615384616
Gadchiroli,2,15.215384615384616
Beed,2,1.8615384615384616
Gondia,2,13.830769230769231
Raigad,2,0.0
Thane,2,0.2545454545454545
Akola,2,6.7846153846153845
Delhi Tanda,2,14.553846153846155
South Delhi,2,14.722222222222221
East Delhi,2,19.244444444444444
North East Delhi,2,9.944444444444445
New Delhi,2,23.52
South West Delhi,2,19.380000000000003
North West Delhi,2,20.369999999999997
Delhi,2,18.64
North Delhi,2,24.990000000000002
Vidisha,2,7.799999999999998
Narsinghpur,2,10.853846153846153
Sheopur,2,5.476923076923077
Sagar,2,8.123076923076924
Neemuch,2,1.5230769230769232
Khandwa,2,4.769230769230769
Chhatarpur,2,13.953846153846152
Guna,2,12.100000000000001
Gwalior,2,13.038461538461544
Chhindwara,2,16.492307692307694
Katni,2,12.369230769230768
Singrauli,2,14.729999999999999
Agar,2,0.0
Anuppur,2,24.14
Alirajpur,2,1.6199999999999999
Burhanpur,2,6.890000000000001
Ashoknagar,2,19.040000000000003
Shivpuri,2,9.930769230769231
Damoh,2,9.884615384615385
Harda,2,9.184615384615386
Panna,2,3.676923076923077
Satna,2,10.184615384615388
Balaghat,2,12.23076923076923
Khargone,2,2.8461538461538463
Dindori,2,12.661538461538461
Jhabua,2,1.2923076923076924
Rewa,2,19.207692307692305
Shajapur,2,4.369230769230769
Umaria,2,16.684615384615384
Betul,2,12.061538461538463
Datia,2,16.96153846153846
Hoshangabad,2,14.453846153846156
Mandla,2,18.453846153846158
Raisen,2,7.015384615384617
Sehore,2,7.461538461538462
Sidhi,2,13.523076923076925
Indore,2,4.6
Seoni,2,16.015384615384615
Tikamgarh,2,13.592307692307692
Dewas,2,12.707692307692309
